127.0.0.1 - - [27/Feb/2022:11:33:20 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:33:23 -0300] "GET /Clinica_Veterinaria/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:33:23 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:37:52 -0300] "GET /Clinica_Veterinaria/ HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:37:52 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:37:56 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:37:56 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:37:57 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:02 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:07 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:08 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:10 -0300] "GET /Clinica_Veterinaria/Especialidades.jsp HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:51 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:51 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:52 -0300] "GET /Clinica_Veterinaria/Especialidade.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:54 -0300] "GET /Clinica_Veterinaria/Contato.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:55 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:38:55 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:39:46 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:39:46 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:39:48 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:39:48 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:11 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:11 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:11 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:11 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:14 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:14 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:48 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:48 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:49 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:40:49 -0300] "GET /Clinica_Veterinaria/StyleCSS.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:44:34 -0300] "GET /Clinica_Veterinaria/index.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [27/Feb/2022:11:44:34 -0300] "GET /Clinica_Veterinaria/CSS/StyleCSS.css HTTP/1.1" 200 165
